id;name;type;state;remark
1;capacitor archive;SINGLE;FINAL;compelling mission-critical
2;bifurcated scalable;DOUBLE;SEMI_FINAL;overriding
3;monitor 1080p Checking Account;SINGLE;GROUP_STAGE;moratorium moratorium
4;New York tangible Mississippi;DOUBLE;SEMI_FINAL;Poland
5;Small partnerships;YETIS_CUP;FINAL;Corporate Phased relationships
6;white Brand Money Market Account;DOUBLE;SEMI_FINAL;maroon
7;EXE projection Fresh;DOUBLE;GROUP_STAGE;copying
8;ability Hat Iraq;SINGLE;GROUP_STAGE;Mauritania
9;facilitate Tasty Concrete Chips Exclusive;SINGLE;GROUP_STAGE;Berkshire Small Plastic Pants Investor
10;Canadian Dollar;SINGLE;GROUP_STAGE;navigate
