id;goals_home;goals_guest;state;placeholder;start;duration;type
1;16162;78534;DONE;true;2019-08-21T02:55:32;97366;SEMI_FINAL
2;30536;54873;OPEN;false;2019-08-21T14:37:38;71217;FINAL
3;32539;17882;OPEN;false;2019-08-21T05:12:36;54254;SEMI_FINAL
4;63633;26520;OPEN;true;2019-08-20T19:21:22;39309;SEMI_FINAL
5;79481;35007;OPEN;true;2019-08-21T14:09:49;23018;GROUP_STAGE
6;4360;17711;OPEN;false;2019-08-21T00:54:16;1545;GROUP_STAGE
7;96361;98033;OPEN;false;2019-08-21T11:14:36;48527;FINAL
8;39469;93615;OPEN;true;2019-08-21T02:44:32;99005;FINAL
9;87737;32255;DONE;true;2019-08-21T11:48:12;29651;FINAL
10;8159;51134;DONE;true;2019-08-21T14:11:13;64996;GROUP_STAGE
